sample-id,split,h5-rel-path,h5-dataset,h5-index,class-id,super-class,class-name,waveform-family,snr-db,fs-hz,n-samples,seed,symbol-rate-hz,sps,nfft,cp-len,n-active,chirp-bw-hz,chirp-dir,pulse-width-us,barker-len,costas-len,frank-order,p4-len,active-len,start-offset,channel-profile,release-name,iid-or-ood,rrc-beta,ofdm-num-symbols,costas-df-hz,costas-perm-id,chip-samples,chip-samples-min,chip-samples-max,gmsk-bt,cpfsk-modulation-index,cpfsk-tone-spacing-hz,effective-snr-basis
sample_000000011,train,hdf5/cisr24_train.h5,/iq,11,10,sensing,Rect,intra-pulse-sensing,0.000000,10000000.000000,1024,30260411,NaN,NaN,NaN,NaN,NaN,NaN,none,70.400000,NaN,NaN,NaN,NaN,704,174,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000012,train,hdf5/cisr24_train.h5,/iq,12,11,sensing,Barker,intra-pulse-sensing,0.000000,10000000.000000,1024,31260411,NaN,NaN,NaN,NaN,NaN,NaN,none,83.200000,7.000000,NaN,NaN,NaN,832,3,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,118.000000,119.000000,NaN,NaN,NaN,active_burst
sample_000000013,train,hdf5/cisr24_train.h5,/iq,13,12,sensing,LFM,intra-pulse-sensing,0.000000,10000000.000000,1024,32260411,NaN,NaN,NaN,NaN,NaN,3000000.000000,up,57.600000,NaN,NaN,NaN,NaN,576,337,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000014,train,hdf5/cisr24_train.h5,/iq,14,13,sensing,Costas,intra-pulse-sensing,0.000000,10000000.000000,1024,33260411,NaN,NaN,NaN,NaN,NaN,NaN,none,83.200000,NaN,13.000000,NaN,NaN,832,75,clean_awgn,CISR24,iid,NaN,NaN,250000.000000,3.000000,NaN,64.000000,64.000000,NaN,NaN,NaN,active_burst
sample_000000015,train,hdf5/cisr24_train.h5,/iq,15,14,sensing,Frank,intra-pulse-sensing,0.000000,10000000.000000,1024,34260411,NaN,NaN,NaN,NaN,NaN,NaN,none,83.200000,NaN,NaN,4.000000,NaN,832,133,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,52.000000,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000016,train,hdf5/cisr24_train.h5,/iq,16,15,sensing,P4,intra-pulse-sensing,0.000000,10000000.000000,1024,35260411,NaN,NaN,NaN,NaN,NaN,NaN,none,76.800000,NaN,NaN,NaN,16.000000,768,107,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,48.000000,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000017,train,hdf5/cisr24_train.h5,/iq,17,16,isac,LFM-BPSK,lfm-psk,0.000000,10000000.000000,1024,36260411,2500000.000000,4.000000,NaN,NaN,NaN,4000000.000000,down,NaN,NaN,NaN,NaN,NaN,768,254,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000018,train,hdf5/cisr24_train.h5,/iq,18,17,isac,LFM-QPSK,lfm-psk,0.000000,10000000.000000,1024,37260411,2500000.000000,4.000000,NaN,NaN,NaN,2000000.000000,up,NaN,NaN,NaN,NaN,NaN,704,233,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000019,train,hdf5/cisr24_train.h5,/iq,19,18,isac,LFM-8PSK,lfm-psk,0.000000,10000000.000000,1024,38260411,2500000.000000,4.000000,NaN,NaN,NaN,4000000.000000,down,NaN,NaN,NaN,NaN,NaN,640,235,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000020,train,hdf5/cisr24_train.h5,/iq,20,19,isac,LFM-MSK,lfm-cpm,0.000000,10000000.000000,1024,39260411,2500000.000000,4.000000,NaN,NaN,NaN,3000000.000000,down,NaN,NaN,NaN,NaN,NaN,704,316,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000021,train,hdf5/cisr24_train.h5,/iq,21,20,isac,LFM-GMSK,lfm-cpm,0.000000,10000000.000000,1024,40260411,2500000.000000,4.000000,NaN,NaN,NaN,4000000.000000,up,NaN,NaN,NaN,NaN,NaN,704,4,clean_awgn,CISR24,iid,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.300000,NaN,NaN,active_burst
sample_000000022,train,hdf5/cisr24_train.h5,/iq,22,21,isac,OFDM-LFM-BPSK,ofdm-lfm,0.000000,10000000.000000,1024,41260411,NaN,NaN,256.000000,32.000000,96.000000,2000000.000000,down,NaN,NaN,NaN,NaN,NaN,864,90,clean_awgn,CISR24,iid,NaN,3.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000023,train,hdf5/cisr24_train.h5,/iq,23,22,isac,OFDM-LFM-QPSK,ofdm-lfm,0.000000,10000000.000000,1024,42260411,NaN,NaN,256.000000,32.000000,96.000000,3000000.000000,down,NaN,NaN,NaN,NaN,NaN,576,81,clean_awgn,CISR24,iid,NaN,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
sample_000000024,train,hdf5/cisr24_train.h5,/iq,24,23,isac,OFDM-LFM-16QAM,ofdm-lfm,0.000000,10000000.000000,1024,43260411,NaN,NaN,256.000000,32.000000,96.000000,2000000.000000,down,NaN,NaN,NaN,NaN,NaN,864,57,clean_awgn,CISR24,iid,NaN,3.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,active_burst
